Model Performance Analysis
Question:,How can someone find their true passion in life?
Generated:,2025-03-16 16:33:08

MODEL: ALIBABA
Metric,Original,Iteration 1,Gain 1,Iteration 2,Gain 2,Iteration 3,Gain 3,Total Gain
Accuracy,0.900,0.950,+5.6%,0.500,-44.4%,0.950,+5.6%,+5.6%
BLEU,0.133,0.150,+12.8%,0.109,-18.0%,0.108,-18.8%,-18.8%
Completeness,0.800,1.000,+25.0%,0.500,-37.5%,0.900,+12.5%,+12.5%
Groundedness,0.600,0.800,+33.3%,0.500,-16.7%,0.800,+33.3%,+33.3%
Overall,0.661,0.747,+13.0%,0.485,-26.6%,0.721,+9.1%,+9.1%
ROUGE,0.158,0.092,-41.8%,0.077,-51.3%,0.072,-54.4%,-54.4%
Relevance,0.836,0.874,+4.5%,0.833,-0.4%,0.854,+2.2%,+2.2%

MODEL: DEEPSEEK
Metric,Original,Iteration 1,Gain 1,Iteration 2,Gain 2,Iteration 3,Gain 3,Total Gain
Accuracy,0.800,0.900,+12.5%,0.500,-37.5%,0.900,+12.5%,+12.5%
BLEU,0.048,0.048,+0.0%,0.064,+33.3%,0.048,+0.0%,+0.0%
Completeness,0.800,0.900,+12.5%,0.500,-37.5%,0.800,+0.0%,+0.0%
Groundedness,0.800,0.800,+0.0%,0.500,-37.5%,0.800,+0.0%,+0.0%
Overall,0.624,0.683,+9.5%,0.457,-26.8%,0.661,+5.9%,+5.9%
ROUGE,0.055,0.079,+43.6%,0.083,+50.9%,0.074,+34.5%,+34.5%
Relevance,0.668,0.751,+12.4%,0.710,+6.3%,0.719,+7.6%,+7.6%

MODEL: LLAMA
Metric,Original,Iteration 1,Gain 1,Iteration 2,Gain 2,Iteration 3,Gain 3,Total Gain
Accuracy,0.900,0.900,+0.0%,0.500,-44.4%,0.900,+0.0%,+0.0%
BLEU,0.391,0.101,-74.2%,0.094,-76.0%,0.106,-72.9%,-72.9%
Completeness,0.900,0.800,-11.1%,0.500,-44.4%,0.800,-11.1%,-11.1%
Groundedness,0.800,0.800,+0.0%,0.800,+0.0%,0.600,-25.0%,-25.0%
Overall,0.750,0.685,-8.7%,0.560,-25.3%,0.673,-10.3%,-10.3%
ROUGE,0.201,0.143,-28.9%,0.194,-3.5%,0.141,-29.9%,-29.9%
Relevance,0.853,0.778,-8.8%,0.855,+0.2%,0.919,+7.7%,+7.7%

MODEL: MIXTRAL
Metric,Original,Iteration 1,Gain 1,Iteration 2,Gain 2,Iteration 3,Gain 3,Total Gain
Accuracy,0.950,0.950,+0.0%,0.500,-47.4%,1.000,+5.3%,+5.3%
BLEU,0.124,0.098,-21.0%,0.191,+54.0%,0.092,-25.8%,-25.8%
Completeness,0.800,0.800,+0.0%,0.500,-37.5%,0.900,+12.5%,+12.5%
Groundedness,0.800,0.700,-12.5%,0.500,-37.5%,0.800,+0.0%,+0.0%
Overall,0.708,0.692,-2.3%,0.511,-27.8%,0.745,+5.2%,+5.2%
ROUGE,0.133,0.186,+39.8%,0.224,+68.4%,0.145,+9.0%,+9.0%
Relevance,0.822,0.828,+0.7%,0.848,+3.2%,0.881,+7.2%,+7.2%

PERFORMANCE SUMMARY
Model,Initial Overall,Final Overall,Change,Best Iteration
alibaba,0.661,0.721,+9.1%,Iteration 1
deepseek,0.624,0.661,+5.9%,Iteration 1
llama,0.750,0.673,-10.3%,Original
mixtral,0.708,0.745,+5.2%,Iteration 3
